route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
11,0,1012_1025_209200_2093,釧路貨物,,,,1012_2092_1525_2093_1025,,
11,0,1012_1120_207000_2091_11b,中斜里オフレールステーション,,,,1012_2070_1525_2091_1025_0_1120,,
11,0,1012_1302_207200_1081,北旭川,,,,1012_2072_1525_1081_1302,,
11,0,1012_1310_207200_1081_3b,名寄オフレールステーション,,,,1012_2072_1525_1081_1302_0_1310,,
11,0,1012_1420_207200_1081_23b,北見,,,,1012_2072_1525_1081_1302_0_1420,,
11,0,1012_1514_207201_53b,小樽築港オフレールステーション,,,,1012_2072_1525_0_1514,,
11,0,1012_1525_207000,札幌貨物ターミナル,,,,1012_2070_1525,,
11,0,1012_1525_207200,札幌貨物ターミナル,,,,1012_2072_1525,,
11,0,1012_1525_209200,札幌貨物ターミナル,,,,1012_2092_1525,,
11,0,1012_1543_207200_1081,滝川,,,,1012_2072_1525_1081_1543,,
11,0,1012_1608_207200_2080,東室蘭,,,,1012_2072_1525_2080_1608,,
11,0,1012_1617_207200_2080,苫小牧貨物,,,,1012_2072_1525_2080_1617,,
11,0,1012_1708_207200_61b,富良野,,,,1012_2072_1525_0_1708,,
11,0,1012_1803_209203_3050,函館貨物,,,,1012_2092_1525_3050_1803,,
12,0,1012_2007_209200_80_2070,水沢,,,,1012_2092_1525_80_2018_2070_2007,,
12,0,1012_2018_209202_80,盛岡貨物ターミナル,,,,1012_2092_1525_80_2018,,
12,0,1012_2034_209204_80,八戸貨物,,,,1012_2092_1525_80_2034,,
12,0,1012_2043_207200_3056,東青森,,,,1012_2072_1525_3056_2043,,
12,0,1012_2207_207204_50_21b,山形オフレールステーション,,,,1012_2072_1525_50_2428_0_2207,,
12,0,1012_2227_209200_3094_14b,横手新営業所,,,,1012_2092_1525_3094_2241_0_2227,,
12,0,1012_2241_209200_3094,秋田貨物,,,,1012_2092_1525_3094_2241,,
12,0,1012_2254_209201_3094_2091,大館,,,,1012_2092_1525_3094_2241_2091_2254,,
12,0,1012_2259_207202_3056_2b,弘前新営業所,,,,1012_2072_1525_3056_2043_0_2259,,
12,0,1012_2314_209200_3094_d,羽後本荘オフレールステーション,,,,1012_2092_1525_3094_2241_0_2314,,
12,0,1012_2405_209206_3060,郡山貨物ターミナル,,,,1012_2092_1525_3060_2405,,
12,0,1012_2415_209205_3060_17b,東福島オフレールステーション,,,,1012_2092_1525_3060_2405_0_2415,,
12,0,1012_2428_207202_50,仙台貨物ターミナル,,,,1012_2072_1525_50_2428,,
12,0,1012_243201_207202_50_851,仙台港,,,,1012_2072_1525_50_2428_851_243201,,
12,0,1012_2475_209208_3060_1b,会津若松オフレールステーション,,,,1012_2092_1525_3060_2405_0_2475,,
12,0,1012_2540_207200_50_5b,古川オフレールステーション,,,,1012_2072_1525_50_2428_0_2540,,
12,0,1012_2551_207200_50_1651,石巻港,,,,1012_2072_1525_50_2428_1651_2551,,
13,0,1012_3010_305870_2081,黒井,,,,1012_3058_4450_2081_3010,,
13,0,1012_3014_305800_2081_12b,柏崎オフレールステーション,,,,1012_3058_4450_2081_3019_0_3014,,
13,0,1012_3019_209208_3094_3096,南長岡,,,,1012_2092_1525_3094_3040_3096_3019,,
13,0,1012_3040_209202_3094,新潟貨物ターミナル,,,,1012_2092_1525_3094_3040,,
13,0,1012_3052_209200_3094_1b,中条オフレールステーション,,,,1012_2092_1525_3094_3040_0_3052,,
13,0,1012_3061_209200_3094_2089,酒田港,,,,1012_2092_1525_3094_3040_2089_3061,,
13,0,1012_4105_305801_3097,熊谷貨物ターミナル,,,,1012_3058_4450_3097_4105,,
13,0,1012_4113_305800_3097,倉賀野,,,,1012_3058_4450_3097_4113,,
13,0,1012_4203_305803_2097,土浦,,,,1012_3058_4450_2097_4203,,
13,0,1012_4213_305802_2097_3b,水戸オフレールステーション,,,,1012_3058_4450_2097_4203_0_4213,,
13,0,1012_4220_305800_72_2095,日立,,,,1012_3058_4450_72_4505_2095_4220,,
13,0,1012_422902_305880_72_2095,小名浜,,,,1012_3058_4450_72_4505_2095_422902,,
13,0,1012_434101_305800_1091,千葉貨物,,,,1012_3058_4450_1091_434101,,
13,0,1012_434109_305802_1091,京葉久保田,,,,1012_3058_4450_1091_434109,,
13,0,1012_436302_305800_72_1095,神栖,,,,1012_3058_4450_72_4505_1095_436302,,
13,0,1012_4418_209203_3050_22b,羽生オフレールステーション,,,,1012_2092_1525_3050_4425_0_4418,,
13,0,1012_4425_209201_3050,宇都宮貨物ターミナル,,,,1012_2092_1525_3050_4425,,
13,0,1012_4439_209217_3060_9b,矢板オフレールステーション,,,,1012_2092_1525_3060_4425_0_4439,,
