trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint
1012_1025_209200_2093,14:40:00,14:40:00,C1012,1,,0,1,,1
1012_1025_209200_2093,16:02:00,16:02:00,T1012,2,,1,1,,1
1012_1025_209200_2093,,,T1525,3,,1,1,,0
1012_1025_209200_2093,34:21:00,34:21:00,T1025,4,,1,1,,1
1012_1025_209200_2093,34:26:00,34:26:00,C1025,5,,1,0,,1
1012_1120_207000_2091_11b,11:10:00,11:10:00,C1012,1,,0,1,,1
1012_1120_207000_2091_11b,12:37:00,12:37:00,T1012,2,,1,1,,1
1012_1120_207000_2091_11b,,,T1525,3,,1,1,,0
1012_1120_207000_2091_11b,,,T1025,4,,1,1,,0
1012_1120_207000_2091_11b,34:30:00,34:30:00,C1120,5,,1,0,,1
1012_1302_207200_1081,18:00:00,18:00:00,C1012,1,,0,1,,1
1012_1302_207200_1081,20:21:00,20:21:00,T1012,2,,1,1,,1
1012_1302_207200_1081,,,T1525,3,,1,1,,0
1012_1302_207200_1081,31:53:00,31:53:00,T1302,4,,1,1,,1
1012_1302_207200_1081,32:13:00,32:13:00,C1302,5,,1,0,,1
1012_1310_207200_1081_3b,18:00:00,18:00:00,C1012,1,,0,1,,1
1012_1310_207200_1081_3b,20:21:00,20:21:00,T1012,2,,1,1,,1
1012_1310_207200_1081_3b,,,T1525,3,,1,1,,0
1012_1310_207200_1081_3b,,,T1302,4,,1,1,,0
1012_1310_207200_1081_3b,36:30:00,36:30:00,C1310,5,,1,0,,1
1012_1420_207200_1081_23b,18:00:00,18:00:00,C1012,1,,0,1,,1
1012_1420_207200_1081_23b,20:21:00,20:21:00,T1012,2,,1,1,,1
1012_1420_207200_1081_23b,,,T1525,3,,1,1,,0
1012_1420_207200_1081_23b,,,T1302,4,,1,1,,0
1012_1420_207200_1081_23b,39:40:00,39:40:00,C1420,5,,1,0,,1
1012_1514_207201_53b,18:00:00,18:00:00,C1012,1,,0,1,,1
1012_1514_207201_53b,20:21:00,20:21:00,T1012,2,,1,1,,1
1012_1514_207201_53b,,,T1525,3,,1,1,,0
1012_1514_207201_53b,36:00:00,36:00:00,C1514,4,,1,0,,1
1012_1525_207000,11:10:00,11:10:00,C1012,1,,0,1,,1
1012_1525_207000,12:37:00,12:37:00,T1012,2,,1,1,,1
1012_1525_207000,17:22:00,17:22:00,T1525,3,,1,1,,1
