stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
C1012,1012,帯広貨物,,42.92557,143.14979,1012,,0,,,
T1012,1012,帯広貨物,,42.92557,143.14979,1012,,0,,,
C1025,1025,釧路貨物,,43.00141,144.35135,1025,,0,,,
T1025,1025,釧路貨物,,43.00141,144.35135,1025,,0,,,
C1120,1120,中斜里オフレールステーション,,43.87438,144.65906,1120,,0,,,
C1302,1302,北旭川,,43.80074,142.42453,1302,,0,,,
T1302,1302,北旭川,,43.80074,142.42453,1302,,0,,,
C1310,1310,名寄オフレールステーション,,44.34929,142.46561,1310,,0,,,
C1420,1420,北見,,43.80549,143.89830,1420,,0,,,
T1420,1420,北見,,43.80549,143.89830,1420,,0,,,
C1514,1514,小樽築港オフレールステーション,,43.18387,141.02111,1514,,0,,,
C1525,1525,札幌貨物ターミナル,,43.04414,141.44687,1525,,0,,,
T1525,1525,札幌貨物ターミナル,,43.04414,141.44687,1525,,0,,,
C1543,1543,滝川,,43.55492,141.90070,1543,,0,,,
T1543,1543,滝川,,43.55492,141.90070,1543,,0,,,
C1608,1608,東室蘭,,42.35476,141.03388,1608,,0,,,
T1608,1608,東室蘭,,42.35476,141.03388,1608,,0,,,
C1617,1617,苫小牧貨物,,42.65168,141.63270,1617,,0,,,
T1617,1617,苫小牧貨物,,42.65168,141.63270,1617,,0,,,
C1708,1708,富良野,,43.34717,142.39150,1708,,0,,,
T1708,1708,富良野,,43.34717,142.39150,1708,,0,,,
C1803,1803,函館貨物,,41.80342,140.73337,1803,,0,,,
T1803,1803,函館貨物,,41.80342,140.73337,1803,,0,,,
T2007,2007,水沢,,39.13899,141.14596,2007,,0,,,
T2018,2018,盛岡貨物ターミナル,,39.64144,141.14510,2018,,0,,,
T2034,2034,八戸貨物,,40.51996,141.44421,2034,,0,,,
T203501,203501,北沼,,40.55718,141.48253,203501,,0,,,
T2043,2043,東青森,,40.81047,140.78314,2043,,0,,,
T2241,2241,秋田貨物,,39.74169,140.10324,2241,,0,,,
T2254,2254,大館,,40.28803,140.55457,2254,,0,,,
T2405,2405,郡山貨物ターミナル,,37.37000,140.37555,2405,,0,,,
T2424,2424,岩沼,,38.11187,140.86325,2424,,0,,,
T2428,2428,仙台貨物ターミナル,,38.25325,140.90574,2428,,0,,,
T243201,243201,仙台港,,38.27658,141.01435,243201,,0,,,
T243204,243204,仙台西港,,38.27186,140.99213,243204,,0,,,
T2551,2551,石巻港,,38.41852,141.28709,2551,,0,,,
T3010,3010,黒井,,37.18415,138.26823,3010,,0,,,
T3019,3019,南長岡,,37.43413,138.84817,3019,,0,,,
T3036,3036,焼島,,37.92770,139.08369,3036,,0,,,
T3040,3040,新潟貨物ターミナル,,37.90853,139.10841,3040,,0,,,
T3061,3061,酒田港,,38.92094,139.82497,3061,,0,,,
T4105,4105,熊谷貨物ターミナル,,36.16289,139.35041,4105,,0,,,
T4113,4113,倉賀野,,36.30037,139.04988,4113,,0,,,
T4203,4203,土浦,,36.07847,140.20590,4203,,0,,,
T4220,4220,日立,,36.59009,140.66167,4220,,0,,,
T422902,422902,小名浜,,36.94700,140.90358,422902,,0,,,
T434101,434101,千葉貨物,,35.55658,140.12121,434101,,0,,,
T434109,434109,京葉久保田,,35.46381,139.99456,434109,,0,,,
T436302,436302,神栖,,35.90988,140.65643,436302,,0,,,
T436304,436304,奥野谷浜,,35.90489,140.68698,436304,,0,,,
T4425,4425,宇都宮貨物ターミナル,,36.45370,139.87008,4425,,0,,,
T4450,4450,隅田川,,35.73294,139.79956,4450,,0,,,
T4475,4475,越谷貨物ターミナル,,35.87598,139.80067,4475,,0,,,
T4505,4505,東京貨物ターミナル,,35.60240,139.75791,4505,,0,,,
T4506,4506,川崎貨物,,35.52963,139.74597,4506,,0,,,
T450702,450702,千鳥町,,35.51936,139.75152,450702,,0,,,
T450703,450703,末広町,,35.53047,139.77041,450703,,0,,,
T453310,453310,横浜本牧,,35.42048,139.67098,453310,,0,,,
T453312,453312,神奈川臨海鉄道（本牧埠頭）,,35.43242,139.67431,453312,,0,,,
T4538,4538,横浜羽沢,,35.48408,139.58959,4538,,0,,,
T4548,4548,相模貨物,,35.32242,139.33157,4548,,0,,,
T4620,4620,竜王,,35.66848,138.51912,4620,,0,,,
T4670,4670,梶ケ谷貨物ターミナル,,35.58046,139.60486,4670,,0,,,
T4674,4674,新座貨物ターミナル,,35.80182,139.54680,4674,,0,,,
T5016,5016,北長野,,36.66504,138.22243,5016,,0,,,
T5141,5141,南松本,,36.21064,137.96942,5141,,0,,,
T5203,5203,沼津,,35.10272,138.86050,5203,,0,,,
T5209,5209,富士,,35.15104,138.65246,5209,,0,,,
T5213,5213,静岡貨物,,34.98856,138.42166,5213,,0,,,
T5229,5229,西浜松,,34.69441,137.71423,5229,,0,,,
T540801,540801,名古屋臨海鉄道（東港）,,35.07935,136.90372,540801,,0,,,
